,0,0.1,0.2,0
experiment_name,spider_hair,spider_hair,spider_hair,spider_hair
iter,500,500,500,2000
sum of pointwise difference,-32.682312,6.6382523,6.638253,6.6382523
sum of absolute value of pointwise difference,324.86633,457.90546,458.62268,457.10257
sum of squared difference,567.36005,1044.8204,1044.2349,1043.05
PSNR,[-0.44588786],[-3.0977168],[-3.095282],[-3.0903516]
SSIM,[0.0089336],[0.00262201],[0.00277305],[0.00201333]
NRMSE,23.81932,32.32368,32.31462,32.296284
MSSIM,[0.0223766],[0.],[0.],[0.]
epoch_time,[39.20475],[39.20475],[54.305786],[282.54333]
total_time,78.50203,78.50203,92.029366,565.9492
